Player,Nation,Pos,Age,Squad,CS,Saves,PKsv,Save%,GA,+/-90,CrdY,CrdR
Alisson,BRA,GK,33.0,Liverpool,8,50,0,64.9,29,0.54,1,0
Alphonse Areola,FRA,GK,33.0,West Ham United,0,76,0,70.4,37,-0.6,0,0
Altay Bayındır,TUR,GK,27.0,Manchester Utd,0,13,0,54.2,11,-0.67,0,0
Marco Bizot,NED,GK,34.0,Aston Villa,2,13,0,65,8,-0.22,2,0
Karl Darlow,WAL,GK,35.0,Leeds United,1,34,0,66.7,19,-0.38,1,0
Gianluigi Donnarumma,ITA,GK,27.0,Manchester City,11,61,1,72.9,23,1.19,6,0
Martin Dúbravka,SVK,GK,37.0,Burnley,3,106,0,66.7,58,-0.9,1,0
Melker Ellborg,SWE,GK,22.0,Sunderland,1,4,0,100,0,1,0,0
Angus Gunn,SCO,GK,30.0,Nottingham Forest,0,0,0,,0,0,0,0
Dean Henderson,ENG,GK,28.0,Crystal Palace,10,84,1,73,35,-0.07,3,0
Mads Hermansen,DEN,GK,25.0,West Ham United,4,27,0,61.4,17,-0.78,0,0
John,BRA,GK,30.0,Nottingham Forest,1,6,0,46.2,8,-0.62,1,0
Sam Johnstone,ENG,GK,32.0,Wolves,0,39,0,62.9,24,-1.5,0,0
Filip Jørgensen,DEN,GK,23.0,Chelsea,0,6,0,60,4,0.68,0,0
Caoimhín Kelleher,IRL,GK,27.0,Brentford,7,71,3,67.3,37,0.11,1,0
Senne Lammens,BEL,GK,23.0,Manchester Utd,5,53,0,67.1,29,0.65,0,0
Bernd Leno,GER,GK,34.0,Fulham,5,71,0,64,43,-0.1,3,0
Giorgi Mamardashvili,GEO,GK,25.0,Liverpool,1,16,1,62.5,10,-0.8,0,0
Emiliano Martínez,ARG,GK,33.0,Aston Villa,7,72,1,73.2,26,0.24,2,0
Stefan Ortega,GER,GK,33.0,Nottingham Forest,1,8,0,66.7,4,-1,0,0
Lucas Perri,BRA,GK,28.0,Leeds United,3,38,0,60.3,29,-0.37,2,0
Đorđe Petrović,SRB,GK,26.0,Bournemouth,8,88,0,67.7,46,-0.07,2,0
Jordan Pickford,ENG,GK,32.0,Everton,10,77,1,71,33,0.03,2,0
Nick Pope,ENG,GK,33.0,Newcastle United,7,67,0,69.1,32,-0.09,1,0
Aaron Ramsdale,ENG,GK,27.0,Newcastle United,0,13,0,59.1,11,0.14,0,0
David Raya,ESP,GK,30.0,Arsenal,14,46,0,68.1,22,1.23,1,0
Robin Roefs,NED,GK,23.0,Sunderland,8,84,1,72.2,34,-0.18,3,0
José Sá,POR,GK,33.0,Wolves,4,49,0,65.3,28,-0.67,1,0
Robert Sánchez,ESP,GK,28.0,Chelsea,9,70,0,69.6,32,0.65,3,1
Matz Sels,BEL,GK,34.0,Nottingham Forest,4,63,0,70,31,-0.44,2,0
James Trafford,ENG,GK,23.0,Manchester City,1,11,0,78.6,4,0.33,0,0
Hákon Valdimarsson,ISL,GK,24.0,Brentford,0,1,0,25,3,1,0,0
Bart Verbruggen,NED,GK,23.0,Brighton,6,77,1,71.6,36,0.07,3,0
Guglielmo Vicario,ITA,GK,29.0,Tottenham Hotspur,7,76,0,63.3,46,-0.24,1,0
