Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Alisson,br BRA,GK,Liverpool,33-158,1992,24,24,"2,160",24,29,1.21,77,50,64.9,13,6,5,8,33.3,2,2,0,0,0,Matches
2,Alphonse Areola,fr FRA,GK,West Ham United,33-010,1993,20,20,"1,800",20,37,1.85,108,76,70.4,4,5,11,0,0,6,5,0,1,0,Matches
3,Altay Bayındır,tr TUR,GK,Manchester Utd,27-329,1998,6,6,540,6,11,1.83,24,13,54.2,2,1,3,0,0,0,0,0,0,,Matches
4,Marco Bizot,nl NED,GK,Aston Villa,34-364,1991,5,4,405,4.5,8,1.78,20,13,65,2,1,1,2,50,1,1,0,0,0,Matches
5,Karl Darlow,wls WAL,GK,Leeds United,35-152,1990,13,13,"1,170",13,19,1.46,51,34,66.7,3,4,6,1,7.7,2,2,0,0,0,Matches
6,Gianluigi Donnarumma,it ITA,GK,Manchester City,27-012,1999,26,26,"2,340",26,23,0.88,85,61,72.9,17,6,3,11,42.3,1,0,1,0,100,Matches
7,Martin Dúbravka,sk SVK,GK,Burnley,37-053,1989,29,29,"2,610",29,58,2,159,106,66.7,4,7,18,3,10.3,6,5,0,1,0,Matches
8,Melker Ellborg,se SWE,GK,Sunderland,22-291,2003,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,,Matches
9,Angus Gunn,sct SCO,GK,Nottingham Forest,30-046,1996,1,0,45,0.5,0,0,0,0,,0,0,0,0,,0,0,0,0,,Matches
10,Dean Henderson,eng ENG,GK,Crystal Palace,28-362,1997,29,29,"2,610",29,35,1.21,115,84,73,10,8,11,10,34.5,5,4,1,0,20,Matches
11,Mads Hermansen,dk DEN,GK,West Ham United,25-241,2000,9,9,810,9,17,1.89,44,27,61.4,3,2,4,4,44.4,0,0,0,0,,Matches
12,John,br BRA,GK,Nottingham Forest,30-024,1996,5,5,437,4.9,8,1.65,13,6,46.2,1,0,4,1,20,1,1,0,0,0,Matches
13,Sam Johnstone,eng ENG,GK,Wolves,32-349,1993,12,12,"1,080",12,24,2,62,39,62.9,0,2,10,0,0,1,1,0,0,0,Matches
14,Filip Jørgensen,dk DEN,GK,Chelsea,23-327,2002,3,2,264,2.9,4,1.36,10,6,60,1,1,0,0,0,0,0,0,0,,Matches
15,Caoimhín Kelleher,ie IRL,GK,Brentford,27-106,1998,28,28,"2,520",28,37,1.32,101,71,67.3,12,5,11,7,25,7,4,3,0,42.9,Matches
16,Senne Lammens,be BEL,GK,Manchester Utd,23-245,2002,23,23,"2,070",23,29,1.26,79,53,67.1,12,8,3,5,21.7,3,3,0,0,0,Matches
17,Bernd Leno,de GER,GK,Fulham,34-005,1992,29,29,"2,610",29,43,1.48,111,71,64,12,4,13,5,17.2,4,3,0,1,0,Matches
18,Giorgi Mamardashvili,ge GEO,GK,Liverpool,25-161,2000,5,5,450,5,10,2,24,16,62.5,1,0,4,1,20,2,1,1,0,50,Matches
19,Emiliano Martínez,ar ARG,GK,Aston Villa,33-188,1992,25,25,"2,205",24.5,26,1.06,97,72,73.2,13,5,7,7,28,1,0,1,0,100,Matches
20,Stefan Ortega,de GER,GK,Nottingham Forest,33-123,1992,3,3,270,3,4,1.33,12,8,66.7,0,1,2,1,33.3,0,0,0,0,,Matches
21,Lucas Perri,br BRA,GK,Leeds United,28-089,1997,16,16,"1,440",16,29,1.81,63,38,60.3,4,6,6,3,18.8,4,4,0,0,0,Matches
22,Đorđe Petrović,rs SRB,GK,Bournemouth,26-152,1999,29,29,"2,610",29,46,1.59,130,88,67.7,9,13,7,8,27.6,4,4,0,0,0,Matches
23,Jordan Pickford,eng ENG,GK,Everton,32-002,1994,29,29,"2,610",29,33,1.14,107,77,71,12,7,10,10,34.5,3,2,1,0,33.3,Matches
24,Nick Pope,eng ENG,GK,Newcastle United,33-324,1992,22,22,"1,966",21.8,32,1.46,97,67,69.1,8,4,10,7,31.8,2,2,0,0,0,Matches
25,Aaron Ramsdale,eng ENG,GK,Newcastle United,27-299,1998,8,7,644,7.2,11,1.54,22,13,59.1,3,2,2,0,0,2,2,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,David Raya,es ESP,GK,Arsenal,30-175,1995,30,30,"2,700",30,22,0.73,69,46,68.1,20,7,3,14,46.7,0,0,0,0,,Matches
27,Robin Roefs,nl NED,GK,Sunderland,23-051,2003,28,28,"2,520",28,34,1.21,115,84,72.2,9,10,9,8,28.6,3,2,1,0,33.3,Matches
28,José Sá,pt POR,GK,Wolves,33-051,1993,18,18,"1,620",18,28,1.56,75,49,65.3,3,5,10,4,22.2,2,2,0,0,0,Matches
29,Robert Sánchez,es ESP,GK,Chelsea,28-111,1997,27,27,"2,344",26,32,1.23,102,70,69.6,12,8,7,9,33.3,1,1,0,0,0,Matches
30,Matz Sels,be BEL,GK,Nottingham Forest,34-011,1992,22,21,"1,858",20.6,31,1.5,90,63,70,6,6,9,4,19,4,4,0,0,0,Matches
31,James Trafford,eng ENG,GK,Manchester City,23-150,2002,3,3,270,3,4,1.33,14,11,78.6,1,0,2,1,33.3,1,1,0,0,0,Matches
32,Hákon Valdimarsson,is ISL,GK,Brentford,24-147,2001,1,1,90,1,3,3,4,1,25,1,0,0,0,0,0,0,0,0,,Matches
33,Bart Verbruggen,nl NED,GK,Brighton,23-203,2002,29,29,"2,610",29,36,1.24,109,77,71.6,9,10,10,6,20.7,6,5,1,0,16.7,Matches
34,Guglielmo Vicario,it ITA,GK,Tottenham Hotspur,29-153,1996,29,29,"2,610",29,46,1.59,120,76,63.3,7,8,14,7,24.1,2,2,0,0,0,Matches
